Date,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,NESTLEIND.NS,SBIN.NS,TCS.NS,WIPRO.NS
2021-03-31,-0.03864969602839918,0.013652770851304341,-0.015808516815361107,-0.012452093089553307,0.01841047662938733,1.165886813758732e-05,0.009700617728707561,0.006110354445049149,-0.009447531454771618
2021-04-01,-0.004619563552671235,-0.013324977016489159,0.021130310628900695,0.012535819414302374,0.007093831003649909,-0.00477992977080588,0.01743069791426466,-0.0040437027522785,0.0054327947568511
2021-04-05,-0.024987508759471533,-0.010795755087587233,-0.03894671465426636,0.017831449769432517,-0.03408317975364383,-0.01185976367388375,-0.0461350485276103,0.02334915993584885,0.021733934591552373
2021-04-06,-0.00644995752957056,0.014790010047944113,-0.009365399148521747,0.0008159241324314781,0.0004704899515419747,0.01191613555429294,-0.008485387316812365,0.007965577988227945,0.003995663426089147
2021-04-07,0.004825472798081654,-0.0012664043904370148,0.020763472097341973,0.013571172223648231,0.0054079074330111165,0.019210460039407184,0.02282122168693479,0.002052282895691704,0.025401032611465313
2021-04-08,-0.009950037420283775,0.0019332519781753987,-0.0016446946171893018,0.006747329141816527,-0.002572474837001737,0.0160857415768334,-0.008227495594027356,0.01404596374648559,0.009360673482222026
2021-04-09,-0.007712274183170886,0.02742851212888664,-0.018207015938949245,0.0008334297193102191,-0.0007034183327492283,-0.005511583558278077,-0.007311631980291278,0.0014772144382075858,0.01809548081066148
2021-04-12,-0.03847374102271517,-0.0056541899849866795,-0.048834331431205635,-0.010617331968342136,-0.0366024989292828,-0.0051555785057703085,-0.06841367209089644,-0.022785682901726223,-0.03888026515439502
2021-04-13,0.02435907346827193,-0.003086818800630775,0.04094313622558032,-0.02005949280848951,0.016560905084791022,-0.019018130143298784,0.03694701250702881,-0.043892942357182996,-0.031553275926905155
2021-04-15,0.021244773913910997,0.002546457820060244,0.026043587364068088,-0.026053069450006516,-0.009582830555756594,-0.01707738917666468,0.004985387473458669,0.0370161272283982,0.028046194436963212
2021-04-16,-0.001014011325890074,-0.0007114388337927657,-0.014342858083237764,-0.005144314835084263,0.006047382904381449,0.02230711231671023,-0.008170544444640715,-0.007393574203634512,0.08938938829927157
2021-04-19,-0.011374462563883192,-0.009048637397730763,-0.012699522946996389,0.006500673329385753,-0.011300904240354681,-0.009398850177293028,-0.025742740733936675,-0.010437579179079948,0.00756614915778675
2021-04-20,-0.014868262978021574,-0.016087684006529046,-0.0011613273156112491,-0.008220008965876269,-0.009970797467427128,0.0003335480934798518,-0.004982565813653972,-0.005456010100579833,-0.005605500932736263
2021-04-22,0.02235158209739363,-0.020042004393119983,0.03595078942657559,-0.00018490824467076727,0.011545093800013229,-0.017852504896386456,0.021699504066398534,-0.008188506186488587,0.035205190232353134
2021-04-23,-0.005869961552159575,-0.017728017248441863,-0.01597028012790258,-0.012804441738614947,-0.0026711758490634008,-0.009812138932788206,-0.0005941756637909412,-0.0029819597977286394,-0.022500775978936516
2021-04-26,-0.0066117360981433615,0.02292268686589094,0.03710847300777709,0.007309947144194862,-0.0002434931512352856,0.014730328770072187,0.023331819486550387,-0.002797869596376512,0.009669896168447378
2021-04-27,0.0241315490010654,0.008133498143078732,0.012941975537450912,0.0036842339926705936,0.00048710490917969196,-0.0054295755822314495,0.02541375887610786,0.010061844774541973,0.009889579361739065
2021-04-28,0.026482249660067625,0.011218971126340405,0.03774533667831892,0.005561644785029962,0.0004868677535070365,-0.008653750485643763,0.02931622516819954,-0.002522303252587399,0.008762059093080143
2021-04-29,-0.002911715884250099,0.00043652562230001024,0.00016087486677540674,0.0002582088161795504,-0.005839475489041734,-0.0024933292846421873,-0.011007307321610482,-0.0028330654267519906,0.0011241303297209182
2021-04-30,-0.0408828871943967,-0.02236678021819405,-0.03371157217093135,-0.0014746307084688715,-0.008320936170875814,-0.011713280482674837,-0.016416166651298525,-0.02555175470401072,0.005920209339508542
2021-05-03,0.001522301692417738,0.023048250489319688,-0.006244796134582176,-0.0016980635216025108,-0.008144340149217055,0.012109655930785834,-0.008203660889402498,0.00044490346747494414,-0.010959011915863348
2021-05-04,-0.018452334960776584,-0.00014542091693015013,-0.008713837352912202,-0.016752503968289423,-0.006717977101559303,0.0024140513017991694,0.002567025960998004,0.0041982295174793904,-0.011080239286537785
2021-05-05,0.010264029797155239,-0.005399440263061606,0.01901794101902521,0.009101938139865151,0.009018176485524165,0.00016025944490793975,0.011095234519711727,0.01506670516871833,0.017947853682828585
2021-05-06,-0.0012120580619089383,-0.001941698921145374,0.008958240139377072,0.014983140968789499,0.006703061414884637,0.010172632678019822,0.0004220283342470932,0.005087880844204529,0.04423162404176617
2021-05-07,0.009886521107592916,0.008870279575874163,-0.0018088186680296214,-0.006646609551890337,0.01282353218247323,0.0026169641403170907,0.007593956573511473,0.006893801942392974,0.0057583268104663965
2021-05-10,0.0036048553134129246,0.008999506291154313,0.010130297767783736,-0.009611312332844735,0.0009739726049409203,0.0015482752119138077,0.00963017000901778,0.004021938134489034,0.020766596304637508
2021-05-11,-0.011479996939272596,-0.012659738987683578,-0.005544255565505196,-0.006644115210763135,-0.007540848584614235,0.004932302939278932,0.008155842669063773,-0.007280327805021414,-0.014354901755873839
2021-05-12,-0.002885630558851493,-0.030452482416552296,-0.024760221723506226,-0.0027429910544852776,-0.003676472687116239,-0.00902188482438182,0.008364229407306079,-0.011208654495415304,-0.020833410325614254
2021-05-14,-0.009038972701943315,0.02056742552605506,0.00428748153644376,-0.007988069099242878,0.04428046817722153,0.030281853393957725,-0.01971707618769558,-0.011691907160221615,-0.018025996843937575
2021-05-17,0.03850456089634613,-0.00025254412233988166,0.04403154551135735,0.009875462008686497,0.0016491338549264878,-0.010810344542221961,0.06283803654017572,0.005980686840195482,0.0027083730941324102
2021-05-18,0.02530800576057257,-0.0008417284593374985,0.015394538817561365,0.007973440085348171,-0.011994488382216728,0.00837248333149554,-0.002218807329549155,0.006205687794726744,0.016506588082434215
2021-05-19,-0.012527903836080378,-0.006107057332270571,-0.012239456835608564,-0.0022387285131372225,-0.010949601210184512,0.0156426383203081,0.0056245489419946,-0.002201434295044713,0.007086008707048119
2021-05-20,-0.017418535910733057,-0.006611029107338906,-0.010952129383404396,0.001720410123039251,-0.0036102030842010135,-0.009398708026290503,0.00039018959256376107,-0.007138367012827218,-0.006645249647801887
2021-05-21,0.04501661483684294,0.007721537652731314,0.038554834113127656,0.011349100142620916,0.009903361280316991,0.012250231118213994,0.04329750608277738,0.0066993164635154034,0.00875554886589458
2021-05-24,0.00844848279523469,-0.010879537041168286,0.007627016338358272,-0.00476193401166447,0.011719714777345791,-0.007818185554480772,0.02704370152822877,0.00032483008177197625,0.004290974496330868
2021-05-25,-0.020530555480160695,0.0032099425843974405,0.0045569540292185184,0.010051560575318197,-0.0028368623793649794,0.008974397761138286,0.0007281735750048757,0.015489714981385294,0.005146696371087556
2021-05-26,-0.0012845560478094153,0.0042445966817690195,0.0033831432266198114,0.026182335752923835,-0.001422420513337852,0.00143874733895899,0.0029101738580838976,0.014290401629547311,0.018742086022383697
2021-05-27,0.003791352084000277,-0.011724609273674247,-0.0003831804109508674,0.0035785654853963678,0.0026115623779070507,0.011709402141133252,0.028170758889030312,0.006806966375722867,0.02588913516608682
